,id,name,Medulla,Pons,Midbrain
0,4,Left-Lateral-Ventricle,24,9,6
1,5,Left-Inf-Lat-Vent,1,0,0
4,10,Left-Thalamus-Proper,186,118,145
5,11,Left-Caudate,96,72,24
6,12,Left-Putamen,147,98,44
7,13,Left-Pallidum,134,94,26
8,14,3rd-Ventricle,24,24,23
9,15,4th-Ventricle,146,39,30
10,16,Medulla,0,1191,118
11,17,Left-Hippocampus,9,3,1
12,18,Left-Amygdala,2,4,6
13,24,CSF,0,0,2
14,26,Left-Accumbens-area,1,5,0
15,28,Left-VentralDC,699,366,185
16,30,Left-vessel,3,1,1
17,31,Left-choroid-plexus,3,6,6
18,43,Right-Lateral-Ventricle,15,7,3
19,44,Right-Inf-Lat-Vent,0,0,0
22,49,Right-Thalamus-Proper,181,122,110
23,50,Right-Caudate,91,55,17
24,51,Right-Putamen,238,137,31
25,52,Right-Pallidum,72,36,9
26,53,Right-Hippocampus,38,16,3
27,54,Right-Amygdala,4,6,4
28,58,Right-Accumbens-area,5,4,1
29,60,Right-VentralDC,615,297,119
30,62,Right-vessel,2,0,1
31,63,Right-choroid-plexus,14,7,3
32,72,5th-Ventricle,0,0,0
33,77,WM-hypointensities,24,11,3
34,78,Left-WM-hypointensities,0,0,0
35,79,Right-WM-hypointensities,0,0,0
36,80,non-WM-hypointensities,0,0,0
37,81,Left-non-WM-hypointensities,0,0,0
38,82,Right-non-WM-hypointensities,0,0,0
39,85,Optic-Chiasm,12,16,24
40,251,CC_Posterior,1,0,1
41,252,CC_Mid_Posterior,5,4,2
42,253,CC_Central,14,5,1
43,254,CC_Mid_Anterior,7,3,1
44,255,CC_Anterior,2,0,0
45,90,Pons,1191,0,138
46,120,Midbrain,118,138,0
47,1000,ctx-lh-unknown,2,1,1
48,1001,ctx-lh-bankssts,1,0,1
49,1002,ctx-lh-caudalanteriorcingulate,2,1,0
50,1003,ctx-lh-caudalmiddlefrontal,17,8,4
51,1004,ctx-lh-corpuscallosum,0,0,0
52,1005,ctx-lh-cuneus,1,2,0
53,1006,ctx-lh-entorhinal,0,0,1
54,1007,ctx-lh-fusiform,6,2,2
55,1008,ctx-lh-inferiorparietal,14,9,4
56,1009,ctx-lh-inferiortemporal,3,1,1
57,1010,ctx-lh-isthmuscingulate,3,3,5
58,1011,ctx-lh-lateraloccipital,2,5,3
59,1012,ctx-lh-lateralorbitofrontal,5,5,2
60,1013,ctx-lh-lingual,1,1,1
61,1014,ctx-lh-medialorbitofrontal,1,5,2
62,1015,ctx-lh-middletemporal,5,3,2
63,1016,ctx-lh-parahippocampal,0,0,0
64,1017,ctx-lh-paracentral,19,9,1
65,1018,ctx-lh-parsopercularis,34,26,6
66,1019,ctx-lh-parsorbitalis,0,1,0
67,1020,ctx-lh-parstriangularis,8,2,1
68,1021,ctx-lh-pericalcarine,2,2,2
69,1022,ctx-lh-postcentral,87,52,45
70,1023,ctx-lh-posteriorcingulate,5,0,0
71,1024,ctx-lh-precentral,330,166,49
72,1025,ctx-lh-precuneus,5,6,7
73,1026,ctx-lh-rostralanteriorcingulate,0,0,0
74,1027,ctx-lh-rostralmiddlefrontal,10,13,6
75,1028,ctx-lh-superiorfrontal,226,121,31
76,1029,ctx-lh-superiorparietal,24,24,25
77,1030,ctx-lh-superiortemporal,10,9,6
78,1031,ctx-lh-supramarginal,18,16,12
79,1032,ctx-lh-frontalpole,0,0,0
80,1033,ctx-lh-temporalpole,0,1,0
81,1034,ctx-lh-transversetemporal,0,1,0
82,1035,ctx-lh-insula,4,1,3
83,2000,ctx-rh-unknown,5,1,0
84,2001,ctx-rh-bankssts,2,1,0
85,2002,ctx-rh-caudalanteriorcingulate,4,0,0
86,2003,ctx-rh-caudalmiddlefrontal,11,9,4
87,2004,ctx-rh-corpuscallosum,0,0,0
88,2005,ctx-rh-cuneus,1,1,2
89,2006,ctx-rh-entorhinal,0,1,0
90,2007,ctx-rh-fusiform,3,8,2
91,2008,ctx-rh-inferiorparietal,13,12,7
92,2009,ctx-rh-inferiortemporal,7,2,4
93,2010,ctx-rh-isthmuscingulate,2,0,1
94,2011,ctx-rh-lateraloccipital,9,13,4
95,2012,ctx-rh-lateralorbitofrontal,3,3,3
96,2013,ctx-rh-lingual,0,5,2
97,2014,ctx-rh-medialorbitofrontal,0,1,0
98,2015,ctx-rh-middletemporal,4,4,3
99,2016,ctx-rh-parahippocampal,1,0,1
100,2017,ctx-rh-paracentral,17,10,5
101,2018,ctx-rh-parsopercularis,16,11,3
102,2019,ctx-rh-parsorbitalis,3,3,3
103,2020,ctx-rh-parstriangularis,15,12,0
104,2021,ctx-rh-pericalcarine,0,2,1
105,2022,ctx-rh-postcentral,114,78,48
106,2023,ctx-rh-posteriorcingulate,8,2,2
107,2024,ctx-rh-precentral,412,181,42
108,2025,ctx-rh-precuneus,15,6,12
109,2026,ctx-rh-rostralanteriorcingulate,0,0,0
110,2027,ctx-rh-rostralmiddlefrontal,27,8,4
111,2028,ctx-rh-superiorfrontal,206,85,25
112,2029,ctx-rh-superiorparietal,32,39,15
113,2030,ctx-rh-superiortemporal,10,10,9
114,2031,ctx-rh-supramarginal,3,7,7
115,2032,ctx-rh-frontalpole,0,0,0
116,2033,ctx-rh-temporalpole,0,1,0
117,2034,ctx-rh-transversetemporal,3,0,0
118,2035,ctx-rh-insula,16,13,4
