,id,name,Medulla,Pons,Midbrain,,Medulla,Pons,Midbrain,,Medulla,Pons,Midbrain,,Med av,Pons av,Midbrain av
0,4,Left-Lateral-Ventricle,11,14,4,,18,10,3,,24,9,6,,17.66666667,11,4.333333333
1,5,Left-Inf-Lat-Vent,0,0,1,,0,0,0,,1,0,0,,0.333333333,0,0.333333333
4,10,Left-Thalamus-Proper,191,105,160,,204,129,127,,186,118,145,,193.6666667,117.3333333,144
5,11,Left-Caudate,93,59,17,,100,53,15,,96,72,24,,96.33333333,61.33333333,18.66666667
6,12,Left-Putamen,140,94,46,,125,97,40,,147,98,44,,137.3333333,96.33333333,43.33333333
7,13,Left-Pallidum,154,94,31,,152,108,27,,134,94,26,,146.6666667,98.66666667,28
8,14,3rd-Ventricle,17,24,20,,25,27,16,,24,24,23,,22,25,19.66666667
9,15,4th-Ventricle,151,42,30,,142,48,24,,146,39,30,,146.3333333,43,28
10,16,Medulla,0,1114,138,,0,1210,114,,0,1191,118,,0,1171.666667,123.3333333
11,17,Left-Hippocampus,7,3,4,,6,5,2,,9,3,1,,7.333333333,3.666666667,2.333333333
12,18,Left-Amygdala,6,4,6,,6,5,3,,2,4,6,,4.666666667,4.333333333,5
13,24,CSF,2,1,1,,2,1,3,,0,0,2,,1.333333333,0.666666667,2
14,26,Left-Accumbens-area,6,2,2,,5,3,1,,1,5,0,,4,3.333333333,1
15,28,Left-VentralDC,708,365,191,,660,371,166,,699,366,185,,689,367.3333333,180.6666667
16,30,Left-vessel,1,1,0,,3,2,1,,3,1,1,,2.333333333,1.333333333,0.666666667
17,31,Left-choroid-plexus,5,7,2,,7,8,5,,3,6,6,,5,7,4.333333333
18,43,Right-Lateral-Ventricle,11,4,1,,7,6,1,,15,7,3,,11,5.666666667,1.666666667
19,44,Right-Inf-Lat-Vent,0,0,1,,0,0,0,,0,0,0,,0,0,0.333333333
22,49,Right-Thalamus-Proper,183,101,105,,180,114,103,,181,122,110,,181.3333333,112.3333333,106
23,50,Right-Caudate,103,59,16,,111,76,17,,91,55,17,,101.6666667,63.33333333,16.66666667
24,51,Right-Putamen,233,142,35,,251,157,33,,238,137,31,,240.6666667,145.3333333,33
25,52,Right-Pallidum,53,20,7,,60,33,3,,72,36,9,,61.66666667,29.66666667,6.333333333
26,53,Right-Hippocampus,33,12,7,,35,14,4,,38,16,3,,35.33333333,14,4.666666667
27,54,Right-Amygdala,6,7,9,,5,3,8,,4,6,4,,5,5.333333333,7
28,58,Right-Accumbens-area,3,1,1,,5,2,1,,5,4,1,,4.333333333,2.333333333,1
29,60,Right-VentralDC,579,351,135,,602,327,144,,615,297,119,,598.6666667,325,132.6666667
30,62,Right-vessel,0,0,0,,0,0,1,,2,0,1,,0.666666667,0,0.666666667
31,63,Right-choroid-plexus,10,8,7,,15,10,10,,14,7,3,,13,8.333333333,6.666666667
32,72,5th-Ventricle,0,0,0,,0,0,0,,0,0,0,,0,0,0
33,77,WM-hypointensities,27,12,6,,17,10,3,,24,11,3,,22.66666667,11,4
34,78,Left-WM-hypointensities,0,0,0,,0,0,0,,0,0,0,,0,0,0
35,79,Right-WM-hypointensities,0,0,0,,0,0,0,,0,0,0,,0,0,0
36,80,non-WM-hypointensities,0,0,0,,0,0,0,,0,0,0,,0,0,0
37,81,Left-non-WM-hypointensities,0,0,0,,0,0,0,,0,0,0,,0,0,0
38,82,Right-non-WM-hypointensities,0,0,0,,0,0,0,,0,0,0,,0,0,0
39,85,Optic-Chiasm,21,14,17,,17,15,15,,12,16,24,,16.66666667,15,18.66666667
40,251,CC_Posterior,1,4,1,,1,2,1,,1,0,1,,1,2,1
41,252,CC_Mid_Posterior,1,3,0,,4,1,0,,5,4,2,,3.333333333,2.666666667,0.666666667
42,253,CC_Central,12,2,3,,13,7,1,,14,5,1,,13,4.666666667,1.666666667
43,254,CC_Mid_Anterior,9,5,1,,2,2,1,,7,3,1,,6,3.333333333,1
44,255,CC_Anterior,1,1,0,,1,1,0,,2,0,0,,1.333333333,0.666666667,0
45,90,Pons,1114,0,138,,1210,0,125,,1191,0,138,,1171.666667,0,133.6666667
46,120,Midbrain,138,138,0,,114,125,0,,118,138,0,,123.3333333,133.6666667,0
47,1000,ctx-lh-unknown,2,0,0,,0,1,3,,2,1,1,,1.333333333,0.666666667,1.333333333
48,1001,ctx-lh-bankssts,1,0,0,,0,0,2,,1,0,1,,0.666666667,0,1
49,1002,ctx-lh-caudalanteriorcingulate,1,0,0,,2,1,0,,2,1,0,,1.666666667,0.666666667,0
50,1003,ctx-lh-caudalmiddlefrontal,29,14,3,,19,9,5,,17,8,4,,21.66666667,10.33333333,4
51,1004,ctx-lh-corpuscallosum,0,0,0,,0,0,0,,0,0,0,,0,0,0
52,1005,ctx-lh-cuneus,1,1,1,,0,2,5,,1,2,0,,0.666666667,1.666666667,2
53,1006,ctx-lh-entorhinal,0,0,0,,1,0,1,,0,0,1,,0.333333333,0,0.666666667
54,1007,ctx-lh-fusiform,3,3,2,,3,2,7,,6,2,2,,4,2.333333333,3.666666667
55,1008,ctx-lh-inferiorparietal,18,9,6,,11,11,4,,14,9,4,,14.33333333,9.666666667,4.666666667
56,1009,ctx-lh-inferiortemporal,1,2,1,,5,0,2,,3,1,1,,3,1,1.333333333
57,1010,ctx-lh-isthmuscingulate,6,4,2,,7,8,1,,3,3,5,,5.333333333,5,2.666666667
58,1011,ctx-lh-lateraloccipital,10,8,8,,1,5,12,,2,5,3,,4.333333333,6,7.666666667
59,1012,ctx-lh-lateralorbitofrontal,5,2,2,,1,0,0,,5,5,2,,3.666666667,2.333333333,1.333333333
60,1013,ctx-lh-lingual,3,3,2,,2,6,3,,1,1,1,,2,3.333333333,2
61,1014,ctx-lh-medialorbitofrontal,0,2,0,,1,2,2,,1,5,2,,0.666666667,3,1.333333333
62,1015,ctx-lh-middletemporal,3,4,4,,1,1,2,,5,3,2,,3,2.666666667,2.666666667
63,1016,ctx-lh-parahippocampal,0,1,0,,0,0,0,,0,0,0,,0,0.333333333,0
64,1017,ctx-lh-paracentral,15,8,1,,19,9,2,,19,9,1,,17.66666667,8.666666667,1.333333333
65,1018,ctx-lh-parsopercularis,31,32,12,,38,34,7,,34,26,6,,34.33333333,30.66666667,8.333333333
66,1019,ctx-lh-parsorbitalis,2,0,0,,3,0,2,,0,1,0,,1.666666667,0.333333333,0.666666667
67,1020,ctx-lh-parstriangularis,6,2,2,,4,3,1,,8,2,1,,6,2.333333333,1.333333333
68,1021,ctx-lh-pericalcarine,1,6,5,,1,1,4,,2,2,2,,1.333333333,3,3.666666667
69,1022,ctx-lh-postcentral,94,64,33,,107,70,43,,87,52,45,,96,62,40.33333333
70,1023,ctx-lh-posteriorcingulate,1,2,1,,5,0,0,,5,0,0,,3.666666667,0.666666667,0.333333333
